Country,Name,Type,Status,Location,Reference Unit Power [MW],Gross Electrical Capacity [MW],First Grid Connection,
Argentina,ATUCHA-1,PHWR,Operational,LIMA,340,362,1974-03-19,
Argentina,ATUCHA-2,PHWR,Operational,LIMA,693,745,2014-06-27,
Argentina,CAREM25,PWR,Under Construction,LIMA,25,29,,
Argentina,EMBALSE,PHWR,Operational,EMBALSE,608,656,1983-04-25,
Armenia,ARMENIAN-1,PWR,Permanent Shutdown,METSAMOR,376,408,1976-12-22,
Armenia,ARMENIAN-2,PWR,Operational,METSAMOR,416,448,1980-01-05,
Belarus,BELARUSIAN-1,PWR,Operational,Ostrovets,1110,1194,2020-11-03,
Belarus,BELARUSIAN-2,PWR,Operational,Ostrovets,1110,1194,2023-05-13,
Belgium,BR-3,PWR,Permanent Shutdown,MOL,10,12,1962-10-10,
Belgium,DOEL-1,PWR,Permanent Shutdown,DOEL-BEVEREN,445,454,1974-06-28,
Belgium,DOEL-2,PWR,Operational,DOEL-BEVEREN,445,454,1975-08-21,
Belgium,DOEL-3,PWR,Permanent Shutdown,DOEL-BEVEREN,1006,1056,1982-06-23,
Belgium,DOEL-4,PWR,Operational,DOEL-BEVEREN,1026,1090,1985-04-08,
Belgium,TIHANGE-1,PWR,Operational,TIHANGE,962,1009,1975-03-07,
Belgium,TIHANGE-2,PWR,Permanent Shutdown,TIHANGE,1008,1055,1982-10-13,
Belgium,TIHANGE-3,PWR,Operational,TIHANGE,1030,1089,1985-06-15,
Brazil,ANGRA-1,PWR,Operational,ANGRA DOS-REIS,609,640,1982-04-01,
Brazil,ANGRA-2,PWR,Operational,ANGRA DOS-REIS,1275,1350,2000-07-21,
Brazil,ANGRA-3,PWR,Under Construction,ANGRA DOS-REIS,1340,1405,,
Bulgaria,KOZLODUY-1,PWR,Permanent Shutdown,VRATZA,408,440,1974-07-24,
Bulgaria,KOZLODUY-2,PWR,Permanent Shutdown,VRATZA,408,440,1975-08-24,
Bulgaria,KOZLODUY-3,PWR,Permanent Shutdown,VRATZA,408,440,1980-12-17,
Bulgaria,KOZLODUY-4,PWR,Permanent Shutdown,VRATZA,408,440,1982-05-17,
Bulgaria,KOZLODUY-5,PWR,Operational,VRATZA,1003,1040,1987-11-29,
Bulgaria,KOZLODUY-6,PWR,Operational,VRATZA,1003,1040,1991-08-02,
Canada,BRUCE-1,PHWR,Operational,TIVERTON,816,868,1977-01-14,
Canada,BRUCE-2,PHWR,Operational,TIVERTON,817,836,1976-09-04,
Canada,BRUCE-3,PHWR,Operational,TIVERTON,770,865,1977-12-12,
Canada,BRUCE-4,PHWR,Operational,TIVERTON,807,868,1978-12-21,
Canada,BRUCE-5,PHWR,Operational,TIVERTON,817,872,1984-12-01,
Canada,BRUCE-6,PHWR,Operational,TIVERTON,817,891,1984-06-26,
Canada,BRUCE-7,PHWR,Operational,TIVERTON,817,872,1986-02-22,
Canada,BRUCE-8,PHWR,Operational,TIVERTON,817,872,1987-03-07,
Canada,DARLINGTON-1,PHWR,Operational,TOWN OF NEWCASTLE,878,934,1990-12-19,
Canada,DARLINGTON-2,PHWR,Operational,TOWN OF NEWCASTLE,878,934,1990-01-15,
Canada,DARLINGTON-3,PHWR,Operational,TOWN OF NEWCASTLE,878,934,1992-12-07,
Canada,DARLINGTON-4,PHWR,Operational,TOWN OF NEWCASTLE,878,934,1993-04-17,
Canada,DOUGLAS POINT,PHWR,Permanent Shutdown,TIVERTON,206,218,1967-01-07,
Canada,GENTILLY-1,HWLWR,Permanent Shutdown,BECANCOUR,250,266,1971-04-05,
Canada,GENTILLY-2,PHWR,Permanent Shutdown,BECANCOUR,635,675,1982-12-04,
Canada,PICKERING-1,PHWR,Permanent Shutdown,PICKERING,515,542,1971-04-04,
Canada,PICKERING-2,PHWR,Permanent Shutdown,PICKERING,515,542,1971-10-06,
Canada,PICKERING-3,PHWR,Permanent Shutdown,PICKERING,515,542,1972-05-03,
Canada,PICKERING-4,PHWR,Permanent Shutdown,PICKERING,515,542,1973-05-21,
Canada,PICKERING-5,PHWR,Operational,PICKERING,516,540,1982-12-19,
Canada,PICKERING-6,PHWR,Operational,PICKERING,516,540,1983-11-08,
Canada,PICKERING-7,PHWR,Operational,PICKERING,516,540,1984-11-17,
Canada,PICKERING-8,PHWR,Operational,PICKERING,516,540,1986-01-21,
Canada,POINT LEPREAU,PHWR,Operational,SAINT JOHN,660,705,1982-09-11,
Canada,ROLPHTON NPD,PHWR,Permanent Shutdown,ROLPHTON,22,25,1962-06-04,
China,CHANGJIANG-1,PWR,Operational,Changjiang,601,650,2015-11-07,
China,CHANGJIANG-2,PWR,Operational,Changjiang,601,650,2016-06-20,
China,CHANGJIANG-3,PWR,Under Construction,Changjiang,1000,1198,,
China,CHANGJIANG-4,PWR,Under Construction,Changjiang,1000,1198,,
China,DAYA BAY-1,PWR,Operational,SHENZHEN CITY,944,984,1993-08-31,
China,DAYA BAY-2,PWR,Operational,SHENZHEN CITY,966,1026,1994-02-07,
China,FANGCHENGGANG-1,PWR,Operational,Fangchenggang,1000,1086,2015-10-25,
China,FANGCHENGGANG-2,PWR,Operational,Fangchenggang,1000,1086,2016-07-15,
China,FANGCHENGGANG-3,PWR,Operational,Fangchenggang,1000,1180,2023-01-10,
China,FANGCHENGGANG-4,PWR,Operational,Fangchenggang,1000,1180,2024-04-09,
China,FANGJIASHAN-1,PWR,Operational,Jiaxing,1012,1089,2014-11-04,
China,FANGJIASHAN-2,PWR,Operational,Jiaxing,1012,1089,2015-01-12,
China,FUQING-1,PWR,Operational,Fuqing,1000,1089,2014-08-20,
China,FUQING-2,PWR,Operational,Fuqing,1000,1089,2015-08-06,
China,FUQING-3,PWR,Operational,Fuqing,1000,1089,2016-09-07,
China,FUQING-4,PWR,Operational,Fuqing,1000,1089,2017-07-29,
China,FUQING-5,PWR,Operational,Fuqing,1075,1161,2020-11-27,
China,FUQING-6,PWR,Operational,Fuqing,1075,1150,2022-01-01,
China,HAIYANG-1,PWR,Operational,Haiyang,1170,1250,2018-08-17,
China,HAIYANG-2,PWR,Operational,Haiyang,1170,1250,2018-10-13,
China,HAIYANG-3,PWR,Under Construction,Haiyang,1161,1253,,
China,HAIYANG-4,PWR,Under Construction,Haiyang,1161,1253,,
China,HONGYANHE-1,PWR,Operational,DALIAN,1061,1119,2013-02-17,
China,HONGYANHE-2,PWR,Operational,DALIAN,1061,1119,2013-11-23,
China,HONGYANHE-3,PWR,Operational,DALIAN,1061,1119,2015-03-23,
China,HONGYANHE-4,PWR,Operational,DALIAN,1061,1119,2016-04-01,
China,HONGYANHE-5,PWR,Operational,DALIAN,1061,1119,2021-06-25,
China,HONGYANHE-6,PWR,Operational,DALIAN,1061,1119,2022-05-02,
